time,X_d,X,Y_d,Y,Z_d,Z,Yaw_d,Yaw
23.48,0.000000,0.002644,0.000000,-0.000703,3.000000,1.810043,0.000000,0.003752
23.54,0.000000,-0.001126,0.000000,-0.001676,3.000000,1.823096,0.000000,0.002679
23.59,0.000000,0.000312,0.000000,-0.002484,3.000000,1.810576,0.000000,0.003628
23.64,0.000000,0.004732,0.000000,-0.000892,3.000000,1.821241,0.000000,0.003380
23.69,0.000000,0.000917,0.000000,-0.000964,3.000000,1.827286,0.000000,0.003029
23.74,0.000000,-0.000156,0.000000,-0.003473,3.000000,1.832472,0.000000,0.004641
23.79,0.000000,-0.000578,0.000000,-0.008115,3.000000,1.787477,0.000000,0.003566
23.84,0.000000,0.001742,0.000000,-0.001778,3.000000,1.826977,0.000000,0.002541
23.89,0.000000,0.001866,0.000000,-0.000386,3.000000,1.818822,0.000000,0.004151
23.94,0.000000,0.002171,0.000000,-0.001196,3.000000,1.827009,0.000000,0.005041
23.99,0.000000,0.002426,0.000000,-0.000449,3.000000,1.826593,0.000000,0.003835
24.04,0.000000,0.000321,0.000000,0.001526,3.000000,1.845230,0.000000,0.003451
24.09,0.000000,-0.000532,0.000000,-0.000367,3.000000,1.831340,0.000000,0.005667
24.14,0.000000,0.000626,0.000000,-0.000830,3.000000,1.836168,0.000000,0.005565
24.19,0.000000,0.002651,0.000000,-0.000977,3.000000,1.845396,0.000000,0.003118
24.24,0.000000,0.002235,0.000000,0.001650,3.000000,1.865365,0.000000,0.003631
24.29,0.000000,-0.000148,0.000000,0.000729,3.000000,1.874137,0.000000,0.003219
24.34,0.000000,0.001658,0.000000,0.001681,3.000000,1.856453,0.000000,0.001717
24.39,0.000000,0.005493,0.000000,-0.001239,3.000000,1.853431,0.000000,0.001807
24.44,0.000000,0.002376,0.000000,0.006429,3.000000,1.843782,0.000000,0.005770
24.49,0.000000,0.002105,0.000000,0.002568,3.000000,1.784651,0.000000,0.003027
