time,velX_d,velX,velY_d,velY,z_d,z,velYaw_d,velYaw
12.66,0.000000,-0.093201,0.000000,-0.011683,1.501872,1.003248,0.000000,-0.000097
12.67,0.000000,-0.082063,0.000000,0.022821,1.503248,1.003248,0.000000,-0.000239
12.68,0.000000,-0.078587,0.000000,0.026297,1.503248,1.003248,0.000000,0.000104
12.69,0.000000,0.040337,0.000000,-0.064547,1.503248,1.003248,0.000000,0.000432
12.70,0.000000,0.071955,0.000000,0.032319,1.505248,1.006606,0.000000,-0.000469
12.71,0.000000,0.076263,0.000000,0.028010,1.506606,1.006606,0.000000,0.000052
12.71,0.000000,0.083070,0.000000,-0.021204,1.506606,1.006606,0.000000,0.000435
12.72,0.000000,0.017482,0.000000,-0.086792,1.506606,1.006606,0.000000,0.000103
12.73,0.000000,-0.036266,0.000000,0.068645,1.508606,1.009976,0.000000,-0.001028
12.75,0.000000,-0.050818,0.000000,0.054092,1.509976,1.009976,0.000000,0.000077
12.75,0.000000,-0.092213,0.000000,0.012697,1.509976,1.009976,0.000000,0.000817
12.76,0.000000,-0.056819,0.000000,-0.048091,1.509976,1.009976,0.000000,0.000855
12.78,0.000000,-0.036921,0.000000,-0.067281,1.511976,1.013338,0.000000,0.000059
12.79,0.000000,0.047203,0.000000,0.056998,1.513338,1.013338,0.000000,-0.000854
12.79,0.000000,0.074839,0.000000,0.029363,1.513338,1.013338,0.000000,0.000037
12.80,0.000000,0.076509,0.000000,-0.027693,1.513338,1.013338,0.000000,0.000435
12.81,0.000000,0.067933,0.000000,-0.036712,1.515338,1.016696,0.000000,0.000014
12.82,0.000000,-0.036672,0.000000,0.067974,1.516696,1.016696,0.000000,-0.000453
12.83,0.000000,-0.086383,0.000000,-0.018262,1.516696,1.016696,0.000000,0.000517
12.84,0.000000,-0.069894,0.000000,-0.034751,1.516696,1.016696,0.000000,0.000192
12.84,0.000000,-0.077125,0.000000,0.027112,1.518696,1.020060,0.000000,-0.000301
12.85,0.000000,0.095609,0.000000,0.008628,1.520060,1.020060,0.000000,0.000099
12.86,0.000000,0.079867,0.000000,-0.024370,1.520060,1.020060,0.000000,0.000213
12.87,0.000000,0.094428,0.000000,0.009809,1.520060,1.020060,0.000000,-0.000126
12.87,0.000000,-0.079052,0.000000,0.025703,1.522060,1.023419,0.000000,0.000040
12.88,0.000000,-0.057791,0.000000,-0.046963,1.523419,1.023419,0.000000,0.000366
12.89,0.000000,-0.079058,0.000000,0.025696,1.523419,1.023419,0.000000,-0.000310
12.89,0.000000,0.056596,0.000000,0.048159,1.523419,1.023419,0.000000,0.000074
12.90,0.000000,0.024829,0.000000,-0.079458,1.525419,1.026776,0.000000,0.000697
12.91,0.000000,0.072466,0.000000,-0.031822,1.526776,1.026776,0.000000,-0.000460
12.92,0.000000,-0.004274,0.000000,0.100014,1.526776,1.026776,0.000000,-0.000784
12.92,0.000000,-0.069594,0.000000,0.034693,1.526776,1.026776,0.000000,0.000678
12.93,0.000000,-0.020930,0.000000,-0.083383,1.528776,1.030136,0.000000,0.001023
12.94,0.000000,-0.014319,0.000000,-0.089994,1.530136,1.030136,0.000000,-0.000257
12.95,0.000000,0.009614,0.000000,0.094699,1.530136,1.030136,0.000000,-0.001399
12.96,0.000000,0.021534,0.000000,0.082779,1.530136,1.030136,0.000000,0.000103
12.97,0.000000,0.046473,0.000000,-0.057815,1.532136,1.033490,0.000000,0.001211
